Model,Batch,Alpha,Eval,Lang,Average,Std
multiflair,16,0.05,F1-Werte (micro),Chinesisch,0.71,0.02845000000000003
multiflair,32,0.05,F1-Werte (micro),Chinesisch,0.63,0.0034500000000000086
multiflair,64,0.05,F1-Werte (micro),Chinesisch,0.6,0.006750000000000034
multiflair,16,0.1,F1-Werte (micro),Chinesisch,0.77,0.003599999999999992
multiflair,32,0.1,F1-Werte (micro),Chinesisch,0.7,0.013600000000000001
multiflair,64,0.1,F1-Werte (micro),Chinesisch,0.66,0.00020000000000003348
multiflair,16,0.15,F1-Werte (micro),Chinesisch,0.8,0.011050000000000004
multiflair,32,0.15,F1-Werte (micro),Chinesisch,0.75,0.012850000000000028
multiflair,64,0.15,F1-Werte (micro),Chinesisch,0.68,0.00830000000000003
multiflair,16,0.2,F1-Werte (micro),Chinesisch,0.83,0.003400000000000014
multiflair,32,0.2,F1-Werte (micro),Chinesisch,0.77,0.01194999999999996
multiflair,64,0.2,F1-Werte (micro),Chinesisch,0.72,0.006849999999999967
bert,16,0.05,F1-Werte (micro),Chinesisch,0.82,0.004200000000000037
bert,32,0.05,F1-Werte (micro),Chinesisch,0.79,0.00030000000000002247
bert,64,0.05,F1-Werte (micro),Chinesisch,0.75,0.0011000000000000454
bert,16,0.1,F1-Werte (micro),Chinesisch,0.83,0.007199999999999984
bert,32,0.1,F1-Werte (micro),Chinesisch,0.82,0.005149999999999988
bert,64,0.1,F1-Werte (micro),Chinesisch,0.8,0.005300000000000027
bert,16,0.15,F1-Werte (micro),Chinesisch,0.83,0.003950000000000009
bert,32,0.15,F1-Werte (micro),Chinesisch,0.83,0.0009000000000000119
bert,64,0.15,F1-Werte (micro),Chinesisch,0.8,0.0025499999999999967
bert,16,0.2,F1-Werte (micro),Chinesisch,0.83,9.999999999998899e-05
bert,32,0.2,F1-Werte (micro),Chinesisch,0.83,0.006800000000000028
bert,64,0.2,F1-Werte (micro),Chinesisch,0.82,0.005449999999999955
roberta,16,0.05,F1-Werte (micro),Chinesisch,0.6,0.003349999999999964
roberta,32,0.05,F1-Werte (micro),Chinesisch,0.59,0.0005000000000000004
roberta,64,0.05,F1-Werte (micro),Chinesisch,0.56,0.003650000000000042
roberta,16,0.1,F1-Werte (micro),Chinesisch,0.61,0.01815
roberta,32,0.1,F1-Werte (micro),Chinesisch,0.6,0.006850000000000023
roberta,64,0.1,F1-Werte (micro),Chinesisch,0.6,0.0031999999999999806
roberta,16,0.15,F1-Werte (micro),Chinesisch,0.63,0.003950000000000009
roberta,32,0.15,F1-Werte (micro),Chinesisch,0.62,0.02024999999999999
roberta,64,0.15,F1-Werte (micro),Chinesisch,0.6,0.007599999999999996
roberta,16,0.2,F1-Werte (micro),Chinesisch,0.61,0.0013999999999999568
roberta,32,0.2,F1-Werte (micro),Chinesisch,0.61,0.003699999999999981
roberta,64,0.2,F1-Werte (micro),Chinesisch,0.61,0.006250000000000033
multiflair,16,0.05,Precision,Chinesisch,0.86,0.0029000000000000137
multiflair,32,0.05,Precision,Chinesisch,0.88,0.005500000000000005
multiflair,64,0.05,Precision,Chinesisch,0.88,0.0011000000000000454
multiflair,16,0.1,Precision,Chinesisch,0.87,0.004599999999999993
multiflair,32,0.1,Precision,Chinesisch,0.86,0.003200000000000036
multiflair,64,0.1,Precision,Chinesisch,0.87,0.007550000000000001
multiflair,16,0.15,Precision,Chinesisch,0.87,0.008199999999999985
multiflair,32,0.15,Precision,Chinesisch,0.88,0.007599999999999996
multiflair,64,0.15,Precision,Chinesisch,0.86,0.0012500000000000289
multiflair,16,0.2,Precision,Chinesisch,0.87,0.0017999999999999683
multiflair,32,0.2,Precision,Chinesisch,0.87,0.005950000000000011
multiflair,64,0.2,Precision,Chinesisch,0.88,0.0039000000000000146
bert,16,0.05,Precision,Chinesisch,0.85,0.00019999999999997797
bert,32,0.05,Precision,Chinesisch,0.84,0.0018999999999999573
bert,64,0.05,Precision,Chinesisch,0.83,0.0006999999999999784
bert,16,0.1,Precision,Chinesisch,0.86,0.006350000000000022
bert,32,0.1,Precision,Chinesisch,0.86,0.009899999999999964
bert,64,0.1,Precision,Chinesisch,0.85,0.006500000000000006
bert,16,0.15,Precision,Chinesisch,0.86,0.0019000000000000128
bert,32,0.15,Precision,Chinesisch,0.87,0.002850000000000019
bert,64,0.15,Precision,Chinesisch,0.85,0.0023500000000000187
bert,16,0.2,Precision,Chinesisch,0.87,0.005300000000000027
bert,32,0.2,Precision,Chinesisch,0.86,0.0032500000000000306
bert,64,0.2,Precision,Chinesisch,0.86,0.005350000000000021
roberta,16,0.05,Precision,Chinesisch,0.78,0.004400000000000015
roberta,32,0.05,Precision,Chinesisch,0.77,0.005850000000000022
roberta,64,0.05,Precision,Chinesisch,0.76,0.02939999999999998
roberta,16,0.1,Precision,Chinesisch,0.77,0.00269999999999998
roberta,32,0.1,Precision,Chinesisch,0.77,0.0008499999999999619
roberta,64,0.1,Precision,Chinesisch,0.78,0.0034500000000000086
roberta,16,0.15,Precision,Chinesisch,0.79,0.005299999999999971
roberta,32,0.15,Precision,Chinesisch,0.78,0.008850000000000025
roberta,64,0.15,Precision,Chinesisch,0.77,0.004500000000000004
roberta,16,0.2,Precision,Chinesisch,0.79,0.006700000000000039
roberta,32,0.2,Precision,Chinesisch,0.78,0.0007000000000000339
roberta,64,0.2,Precision,Chinesisch,0.78,0.0050000000000000044
multiflair,16,0.05,Recall,Chinesisch,0.6,0.04265000000000002
multiflair,32,0.05,Recall,Chinesisch,0.49,0.005950000000000011
multiflair,64,0.05,Recall,Chinesisch,0.46,0.007500000000000007
multiflair,16,0.1,Recall,Chinesisch,0.69,0.008699999999999986
multiflair,32,0.1,Recall,Chinesisch,0.59,0.017750000000000044
multiflair,64,0.1,Recall,Chinesisch,0.54,0.003149999999999986
multiflair,16,0.15,Recall,Chinesisch,0.74,0.024500000000000022
multiflair,32,0.15,Recall,Chinesisch,0.66,0.01539999999999997
multiflair,64,0.15,Recall,Chinesisch,0.56,0.010649999999999993
multiflair,16,0.2,Recall,Chinesisch,0.79,0.0047499999999999765
multiflair,32,0.2,Recall,Chinesisch,0.69,0.015400000000000025
multiflair,64,0.2,Recall,Chinesisch,0.61,0.007899999999999963
bert,16,0.05,Recall,Chinesisch,0.78,0.007899999999999963
bert,32,0.05,Recall,Chinesisch,0.74,0.0020000000000000018
bert,64,0.05,Recall,Chinesisch,0.68,0.0024000000000000132
bert,16,0.1,Recall,Chinesisch,0.8,0.007900000000000018
bert,32,0.1,Recall,Chinesisch,0.78,0.0011999999999999789
bert,64,0.1,Recall,Chinesisch,0.75,0.0043500000000000205
bert,16,0.15,Recall,Chinesisch,0.81,0.009099999999999997
bert,32,0.15,Recall,Chinesisch,0.8,0.000749999999999973
bert,64,0.15,Recall,Chinesisch,0.76,0.006300000000000028
bert,16,0.2,Recall,Chinesisch,0.8,0.0043500000000000205
bert,32,0.2,Recall,Chinesisch,0.81,0.009899999999999964
bert,64,0.2,Recall,Chinesisch,0.78,0.005549999999999999
roberta,16,0.05,Recall,Chinesisch,0.49,0.002799999999999997
roberta,32,0.05,Recall,Chinesisch,0.48,0.001600000000000018
roberta,64,0.05,Recall,Chinesisch,0.44,0.014649999999999996
roberta,16,0.1,Recall,Chinesisch,0.51,0.02369999999999997
roberta,32,0.1,Recall,Chinesisch,0.49,0.00949999999999998
roberta,64,0.1,Recall,Chinesisch,0.48,0.005499999999999977
roberta,16,0.15,Recall,Chinesisch,0.52,0.003149999999999986
roberta,32,0.15,Recall,Chinesisch,0.51,0.0237
roberta,64,0.15,Recall,Chinesisch,0.49,0.008300000000000002
roberta,16,0.2,Recall,Chinesisch,0.5,0.0007999999999999952
roberta,32,0.2,Recall,Chinesisch,0.5,0.004750000000000032
roberta,64,0.2,Recall,Chinesisch,0.5,0.0063
multiflair,16,0.05,Accuracy,Chinesisch,0.95,0.003300000000000025
multiflair,32,0.05,Accuracy,Chinesisch,0.94,0.000250000000000028
multiflair,64,0.05,Accuracy,Chinesisch,0.94,0.0009500000000000064
multiflair,16,0.1,Accuracy,Chinesisch,0.96,0.00040000000000001146
multiflair,32,0.1,Accuracy,Chinesisch,0.95,0.0018000000000000238
multiflair,64,0.1,Accuracy,Chinesisch,0.94,9.999999999998899e-05
multiflair,16,0.15,Accuracy,Chinesisch,0.96,0.0014500000000000068
multiflair,32,0.15,Accuracy,Chinesisch,0.96,0.0018500000000000183
multiflair,64,0.15,Accuracy,Chinesisch,0.95,0.0011499999999999844
multiflair,16,0.2,Accuracy,Chinesisch,0.97,0.0005499999999999949
multiflair,32,0.2,Accuracy,Chinesisch,0.96,0.0020499999999999963
multiflair,64,0.2,Accuracy,Chinesisch,0.95,0.0009000000000000119
bert,16,0.05,Accuracy,Chinesisch,0.97,0.000749999999999973
bert,32,0.05,Accuracy,Chinesisch,0.96,0.00040000000000001146
bert,64,0.05,Accuracy,Chinesisch,0.96,9.999999999998899e-05
bert,16,0.1,Accuracy,Chinesisch,0.97,0.0014500000000000068
bert,32,0.1,Accuracy,Chinesisch,0.97,0.0009000000000000119
bert,64,0.1,Accuracy,Chinesisch,0.96,0.0008500000000000174
bert,16,0.15,Accuracy,Chinesisch,0.97,0.0006499999999999839
bert,32,0.15,Accuracy,Chinesisch,0.97,4.999999999999449e-05
bert,64,0.15,Accuracy,Chinesisch,0.96,0.00045000000000000595
bert,16,0.2,Accuracy,Chinesisch,0.97,0.000250000000000028
bert,32,0.2,Accuracy,Chinesisch,0.97,0.0009000000000000119
bert,64,0.2,Accuracy,Chinesisch,0.97,0.0010000000000000009
roberta,16,0.05,Accuracy,Chinesisch,0.94,0.00045000000000000595
roberta,32,0.05,Accuracy,Chinesisch,0.94,0.00020000000000003348
roberta,64,0.05,Accuracy,Chinesisch,0.93,0.0
roberta,16,0.1,Accuracy,Chinesisch,0.94,0.0019000000000000128
roberta,32,0.1,Accuracy,Chinesisch,0.94,0.0010499999999999954
roberta,64,0.1,Accuracy,Chinesisch,0.94,0.000749999999999973
roberta,16,0.15,Accuracy,Chinesisch,0.94,0.00030000000000002247
roberta,32,0.15,Accuracy,Chinesisch,0.94,0.00275000000000003
roberta,64,0.15,Accuracy,Chinesisch,0.94,0.0011499999999999844
roberta,16,0.2,Accuracy,Chinesisch,0.94,0.0005000000000000004
roberta,32,0.2,Accuracy,Chinesisch,0.94,0.0006500000000000394
roberta,64,0.2,Accuracy,Chinesisch,0.94,0.0010000000000000009
multiflair,16,0.05,F1-Werte (micro),Deutsch,0.51,0.01899999999999999
multiflair,32,0.05,F1-Werte (micro),Deutsch,0.41,0.0014500000000000068
