Model,Batch,Alpha,Eval,Lang,SingleMulti,Average,Std
bert,16,0.2,F1-Werte (micro),Chinesisch,Multi,0.8308,0.0001
bert,16,0.2,F1-Werte (micro),Chinesisch,Single,0.89655,0.003950000000000009
roberta,16,0.15,F1-Werte (micro),Chinesisch,Multi,0.6307,0.004
roberta,16,0.15,F1-Werte (micro),Chinesisch,Single,0.5587,0.013900000000000023
bert,16,0.2,Precision,Chinesisch,Multi,0.8656,0.0053
bert,16,0.2,Precision,Chinesisch,Single,0.9303,0.00019999999999997797
roberta,16,0.15,Precision,Chinesisch,Multi,0.7933,0.0053
roberta,16,0.15,Precision,Chinesisch,Single,0.8658,0.0027000000000000357
bert,16,0.2,Recall,Chinesisch,Multi,0.7989,0.0044
bert,16,0.2,Recall,Chinesisch,Single,0.8652,0.007500000000000007
roberta,16,0.15,Recall,Chinesisch,Multi,0.5233,0.0031
roberta,16,0.15,Recall,Chinesisch,Single,0.41264999999999996,0.015850000000000003
bert,16,0.2,Accuracy,Chinesisch,Multi,0.9691,0.0003
bert,16,0.2,Accuracy,Chinesisch,Single,0.9801,0.0008000000000000229
roberta,16,0.15,Accuracy,Chinesisch,Multi,0.9423,0.0003
roberta,16,0.15,Accuracy,Chinesisch,Single,0.9345,0.0016000000000000458
multiflair,16,0.2,F1-Werte (micro),Deutsch,Multi,0.6222,0.0009
multiflair,16,0.2,F1-Werte (micro),Deutsch,Single,0.7363,0.0024000000000000132
bert,16,0.2,F1-Werte (micro),Deutsch,Multi,0.7203,0.0008
bert,16,0.2,F1-Werte (micro),Deutsch,Single,0.7526999999999999,0.0017999999999999683
roberta,16,0.15,F1-Werte (micro),Deutsch,Multi,0.7771,0.0055
roberta,16,0.15,F1-Werte (micro),Deutsch,Single,0.7349,0.0011999999999999789
multiflair,16,0.2,Precision,Deutsch,Multi,0.6743,0.0093
multiflair,16,0.2,Precision,Deutsch,Single,0.75895,0.002950000000000008
bert,16,0.2,Precision,Deutsch,Multi,0.7544,0.0005
bert,16,0.2,Precision,Deutsch,Single,0.7772,0.0030000000000000027
roberta,16,0.15,Precision,Deutsch,Multi,0.782,0.0057
roberta,16,0.15,Precision,Deutsch,Single,0.76735,0.0012499999999999734
multiflair,16,0.2,Recall,Deutsch,Multi,0.5778,0.0053
multiflair,16,0.2,Recall,Deutsch,Single,0.7149,0.0019000000000000128
bert,16,0.2,Recall,Deutsch,Multi,0.6891,0.0019
bert,16,0.2,Recall,Deutsch,Single,0.72965,0.0007500000000000284
roberta,16,0.15,Recall,Deutsch,Multi,0.7722,0.0053
roberta,16,0.15,Recall,Deutsch,Single,0.70505,0.0011500000000000399
multiflair,16,0.2,Accuracy,Deutsch,Multi,0.9587,0.0
multiflair,16,0.2,Accuracy,Deutsch,Single,0.97075,0.00014999999999998348
bert,16,0.2,Accuracy,Deutsch,Multi,0.9678,0.0001
bert,16,0.2,Accuracy,Deutsch,Single,0.97195,4.999999999999449e-05
roberta,16,0.15,Accuracy,Deutsch,Multi,0.9743,0.0005
roberta,16,0.15,Accuracy,Deutsch,Single,0.97035,0.000250000000000028
multiflair,16,0.2,F1-Werte (micro),Englisch,Multi,0.8035,0.0025
multiflair,16,0.2,F1-Werte (micro),Englisch,Single,0.85545,0.000250000000000028
bert,16,0.2,F1-Werte (micro),Englisch,Multi,0.8424,0.0015
bert,16,0.2,F1-Werte (micro),Englisch,Single,0.8511,0.0030999999999999917
roberta,16,0.15,F1-Werte (micro),Englisch,Multi,0.8656,0.0004
roberta,16,0.15,F1-Werte (micro),Englisch,Single,0.8613500000000001,0.000250000000000028
